movieId,title,genres
193609,Andrew Dice Clay: Dice Rules (1991),Comedy
193587,Bungo Stray Dogs: Dead Apple (2018),Action|Animation
193585,Flint (2017),Drama
193583,No Game No Life: Zero (2017),Animation|Comedy|Fantasy
193581,Black Butler: Book of the Atlantic (2017),Action|Animation|Comedy|Fantasy
193579,Jon Stewart Has Left the Building (2015),Documentary
193573,Love Live! The School Idol Movie (2015),Animation
193571,Silver Spoon (2014),Comedy|Drama
193567,anohana: The Flower We Saw That Day - The Movie (2013),Animation|Drama
193565,Gintama: The Movie (2010),Action|Animation|Comedy|Sci-Fi
